id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
199485875958,"HP 14-EM0088AU(C58RBPA) Athlon-7120U/8GB DDR5/512GB/14""FHD",3099.00,https://www.allithypermarket.com.my/products/hp-14-em0088auc58rbpa-athlon-7120u-8gb-ddr5-512gb-14fhd,https://cdn.shopify.com/s/files/1/1974/9033/files/EM0088AUShopify.jpg?v=1784779371,ALL IT - HP,AMD Athlon™ 7120U,AMD Radeon™ Graphics,8GB DDR5,512GB SSD,"14"" Full HD",,,OPERATING SYSTEM: Windows 11 Home | COLOUR: Silver
826581702702,"HP 14-EM0303AU/EM0302AU(DW3M8PA/DW3M9PA) Ryzen7-7730U/16GB DDR4/512GB SSD/14""FHD",2999.00,https://www.allithypermarket.com.my/products/hp-14-em0303au-em0302audw3m8pa-dw3m9pa-ryzen7-7730u-16gb-ddr4-512gb-ssd-14fhd,https://cdn.shopify.com/s/files/1/1974/9033/files/20260723071227d170eba138e4b7e1f3b6ab5968b85bf8.jpg?v=1784790809,ALL IT - HP,AMD Ryzen™ 7 7730U,AMD Radeon™ Graphics,16GB DDR4,512GB SSD,"14"" Full HD",,,THE TWO MODELS DIFFER ONLY BY COLOUR: Warm Gold (DW3M8PA) | OPERATING SYSTEM: Windows 11 Home
821844599969,"HP 15-fc0878AU-15-fc0880AU Laptop Ryzen5-7530U/8GB DDR4/512GB SSD/15.6""FHD",2529.00,https://www.allithypermarket.com.my/products/hp-15-fc0878au-15-fc0880au-laptop-ryzen5-7530u-8gb-ddr4-512gb-ssd-15-6fhd,https://cdn.shopify.com/s/files/1/1974/9033/files/2026071601462667c0965b0c30e6cf6ad2dc2fc7872b67.jpg?v=1784166410,ALL IT - HP,AMD Ryzen™ 5 7530U,AMD Radeon™ Graphics,8GB DDR4 RAM,512GB PCIe NVMe M.2 SSD,"15.6"" Full HD (1920 × 1080)",,,MODELS: HP 15-fc0878AU – Gold (D93C7PA) | OPERATING SYSTEM: Windows 11 Home | OFFICE SOFTWARE: Microsoft Office Home 2024
199896777544,"HP AI Laptop 15-fd2115TU-15-fd2116TU-15-fd2117TU CU5-225U/16GB DDR5/512GB SSD/15.6""FHD",3079.00,https://www.allithypermarket.com.my/products/hp-ai-laptop-15-fd2115tu-15-fd2116tu-15-fd2117tu-cu5-225u-16gb-ddr5-512gb-ssd-15-6fhd,https://cdn.shopify.com/s/files/1/1974/9033/files/2026061003121001730da99f429c565384ce8cc97ced05.jpg?v=1781061142,ALL IT - HP,Intel® Core™ Ultra 5 225U,Intel® Graphics,16GB DDR5 RAM,512GB PCIe NVMe M.2 SSD,"15.6"" Full HD (1920 × 1080) Anti-Glare Display",Wi-Fi 6 + Bluetooth® 5.3,,MODELS: D4QU5PA (Gold) | MAX TURBO FREQUENCY: Up to 4.8GHz | NPU: Intel® AI Boost | BRIGHTNESS: 300 nits | COLOR GAMUT: 62.5% sRGB | OPERATING SYSTEM: Windows 11 Home
199896776646,"HP Gaming Victus Laptop 15-fa2547TX-15-fa2548TX-15-fa2549TX i5-13420H/16GB DDR5/512GB SSD/15.6""FHD 144Hz/RTX3050",3799.00,https://www.allithypermarket.com.my/products/hp-gaming-victus-laptop-15-fa2547tx-15-fa2548tx-15-fa2549tx-i5-13420h-16gb-ddr5-512gb-ssd-15-6fhd-144hz-rtx3050,https://cdn.shopify.com/s/files/1/1974/9033/files/20260610031252ea8f94ea7d2b4a59dbaca1a3172e5442.jpg?v=1781061191,ALL IT - HP,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050 Laptop GPU,16GB DDR5-5200 (1 × 16GB),512GB PCIe Gen4 NVMe M.2 SSD,"15.6"" FHD (1920 × 1080) IPS Anti-Glare",Wi-Fi 6 (2×2) + Bluetooth® 5.4,,MODELS: D4QL6PA (Powder Pink) | MAX TURBO FREQUENCY: Up to 4.6GHz | REFRESH RATE: 144Hz | BRIGHTNESS: 300 nits | COLOR GAMUT: 62.5% sRGB | OPERATING SYSTEM: Windows 11 Home
199896777612,"HP Hyper X Omen 15-ga0047TX Laptop GeForce RTX5060/i7-14650HX/16GB DDR5/1TB SSD/15.3"" WQXGA 180Hz",6299.00,https://www.allithypermarket.com.my/products/hp-hyper-x-omen-15-ga0047tx-laptop-i7-14650hx-16gb-ddr5-1tb-ssd-15-3-wqxga-180hz-rtx5060,https://cdn.shopify.com/s/files/1/1974/9033/files/HyperXOmen15-ga0047TX.jpg?v=1780562378,ALL IT - HP,"Intel® Core™ i7-14650HX (16 cores / 24 threads, up to 5.2GHz)",NVIDIA® GeForce RTX™ 5060 8GB GDDR7,16GB DDR5 5600MHz (1×16GB),1TB PCIe Gen4 NVMe SSD,"15.3"" WQXGA (2560 × 1600) IPS Anti-Glare",Wi-Fi 6 + Bluetooth® 5.4,70Wh Li-ion Battery,REFRESH RATE: 180Hz | BRIGHTNESS: 500 nits | COLOR GAMUT: 100% sRGB | OPERATING SYSTEM: Windows 11 Home | KEYBOARD: RGB Backlit Keyboard with Numeric Keypad | AUDIO: DTS:X Ultra / HyperX Audio tuning | PORTS: • 2 × USB-A 10Gbps • 1 × USB-C (DP + PD support) • 1 × HDMI 2.1 • 1 × RJ45 Ethernet • 1 × 3.5mm Audio Combo Jack • 1 × Power Input | CHARGING: 280W Power Adapter
199896776868,"HP HyperX Omen 15-gb0040AX Laptop GeForce RTX5050/Ryzen5 240/16GB DDR5/512GB SSD/15.3"" WQXGA 165Hz",5099.00,https://www.allithypermarket.com.my/products/hp-hyperx-omen-15-gb0040ax-laptop-ryzen5-240-16gb-ddr5-512gb-ssd-15-3-wqxga-165hz-rtx5050,https://cdn.shopify.com/s/files/1/1974/9033/files/HyperXOmen15-gb0040AXBlack.jpg?v=1780562350,ALL IT - HP,"AMD Ryzen™ 5 240 (6 cores / 12 threads, up to 5.0GHz boost)",NVIDIA® GeForce RTX™ 5050 8GB GDDR7,16GB DDR5-5600 RAM,512GB PCIe Gen4 NVMe SSD,"15.3"" WQXGA (1920 × 1200) IPS Anti-Glare",Wi-Fi 6 + Bluetooth® 5.4,70Wh Battery,REFRESH RATE: 165Hz | BRIGHTNESS: 300 nits | COLOR GAMUT: 62.5% sRGB | OPERATING SYSTEM: Windows 11 Home | KEYBOARD: Full-size Backlit Keyboard with Numpad | AUDIO: DTS:X Ultra + Dual Speakers (HyperX tuned) | PORTS: • 2 × USB-A 10Gbps • 1 × USB-C (DP + PD support) • 1 × HDMI 2.1 • 1 × RJ45 LAN • 1 × 3.5mm Audio Jack • 1 × Power Input | CHARGING: 150W Power Adapter
199896776776,"HP Laptop 15-fc0016AU/fc0017AU Ryzen7-7730U/16GB DDR4/512GB SSD/15.6""FHD/Sil/H&S+M365 Basic",2599.00,https://www.allithypermarket.com.my/products/hp-laptop-15-fc0016au-fc0017au-ryzen7-7730u-16gb-ddr4-512gb-ssd-15-6fhd-sil-h-s-m365-basic,https://cdn.shopify.com/s/files/1/1974/9033/files/20260417021705086ea4b20a9982cd5165a397aaf7506c.jpg?v=1776392233,ALL IT - HP,⁠ ⁠Powered by AMD Ryzen™ 7 7730U for smooth daily performance,Feature 5: Integrated AMD Radeon™ Graphics,⁠ ⁠16GB RAM for multitasking and productivity,⁠ ⁠512GB SSD for fast boot and storage,"⁠ ⁠15.6"" FHD IPS display for clear and comfortable viewing",Wi-Fi / Bluetooth,Integrated Lithium Battery,"FEATURE 1: AMD Ryzen™ 7 7730U Processor | FEATURE 2: 16GB DDR4 RAM | FEATURE 3: 512GB PCIe NVMe SSD | FEATURE 4: 15.6"" FHD (1920×1080) IPS Display | FEATURE 5: Integrated AMD Radeon™ Graphics | CHARGING: Standard AC Adapter | PRODUCT DIMENSIONS: ~359 × 236 × 18 mm | PRODUCT WEIGHT: ~1.6 – 1.7 kg"
199896776813,"HP Laptop 15-fc0797AU Ryzen5-7530U/16GB DDR4/512GB SSD/15.6""FHD/Sil/H&S+M365 Basic",2449.00,https://www.allithypermarket.com.my/products/hp-laptop-15-fc0797au-ryzen5-7530u-16gb-ddr4-512gb-ssd-15-6fhd-sil-h-s-m365-basic,https://cdn.shopify.com/s/files/1/1974/9033/files/fc0797AU_Shopify.jpg?v=1776217620,ALL IT - HP,AMD Ryzen 5 7530U processor delivers smooth multitasking performance,AMD Radeon integrated graphics for everyday tasks and light gaming,16GB RAM for fast productivity and seamless daily usage,512GB PCIe NVMe SSD for quick boot and storage access,15.6” Full HD IPS anti-glare display with 300 nits brightness,Wired / Wireless (WiFi + Bluetooth),3-cell 41Wh battery,"FEATURE 1: AMD Ryzen 5 7530U (Up to 4.5GHz, 6 cores / 12 threads) | FEATURE 2: 16GB DDR4 3200MHz RAM | FEATURE 3: 512GB PCIe NVMe SSD | FEATURE 4: 15.6” FHD (1920×1080) IPS Anti-Glare Display | FEATURE 5: AMD Radeon Graphics | CHARGING: Fast Charge (Approx. 50% in 45 minutes) | PRODUCT DIMENSIONS: 35.98 × 23.6 × 1.86 cm | PRODUCT WEIGHT: Approx. 1.59 kg"
@199896477376,"HP Laptop 15-fd0905TU/fd0906TU/fd0907TU C5-120U/16GB DDR5/512GB SSD/15.6""FHD/W.Gld/H&S+M365 Basic",2499.00,https://www.allithypermarket.com.my/products/hp-laptop-15-fd0905tu-fd0906tu-fd0907tu-c5-120u-16gb-ddr5-512gb-ssd-15-6fhd-w-gld-h-s-m365-basic,https://cdn.shopify.com/s/files/1/1974/9033/files/20260209032251b65f9ee2db3535607ee8c4280b2753ea.jpg?v=1770607398,ALL IT - HP,"Intel® Core™ 5 120U (up to 5.0 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)",Intel® Graphics,16 GB DDR5 4800 MT/s (1 x 16 GB) (Extra 1 ram slot can addon),512GB PCIe NVMe SSD,"39.6 cm (15.6"") diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGBKeyboard Backlit",Realtek Wi-Fi 6 (2x2) and Bluetooth® 5.3 wireless card (supporting gigabit data rate),approximately 50% in 45 minutes,SKU: Apply to selected Desktop SKUs as below | MECHANISM: End user get Touch n Go E-wallet for purchase of the below selected Laptop | DEADLINE: All entries must be submitted online within 21 days of the date of purchase of Eligible Products. | WEBSITE: **www.hp.com.my/psrewards** | PROMO PERIOD: 1st Feb 2026 – 30th Apr 2026
