id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
35712,"ASUS ExpertBook P5 G1 (16"" Intel)",,https://www.asus.com/my/laptops/for-work/expertbook/asus-expertbook-p5-g1-16-intel/,https://dlcdnwebimgs.asus.com/gain/3615bd20-7b18-4bc1-91cd-415f2c6623d6/w185,ASUS Official,Up to Intel ® Core™ Ultra 7 processors,Intel Integrated Graphics,,Dual-SSD support up to 6TB storage,,,Long-lasting 70Wh battery,"Windows 11 Pro - ASUS recommends Windows 11 Pro for business | Up to 45W TDP with ExpertCool thermal | Sleek, ergonomic design | ASUS MyExpert AI assistant"
34706,"ASUS ExpertBook P5 G1 (14"" Intel)",7999.00,https://www.asus.com/my/laptops/for-work/expertbook/asus-expertbook-p5-g1-14-intel/,https://dlcdnwebimgs.asus.com/gain/4137420c-4450-480b-8570-fd038423c3d7/w185,ASUS Official,Up to Intel ® Core™ Ultra 7 processors,Intel Integrated Graphics,,Dual-SSD support up to 6TB storage,,,Long-lasting 70Wh battery,"Windows 11 Pro - ASUS recommends Windows 11 Pro for business | Up to 45W TDP with ExpertCool thermal | Sleek, ergonomic design | ASUS MyExpert AI assistant"
28617,ASUS Vivobook 16 (M1607); Copilot+ PC,,https://www.asus.com/my/laptops/for-home/vivobook/asus-vivobook-16-m1607/,https://dlcdnwebimgs.asus.com/gain/c91634e5-c855-4506-9422-cf3bea340916/w185,ASUS Official,Up to AMD Ryzen™ AI 7 350 processor,Up to AMD Radeon™ Graphics,Up to 32 GB DDR5 memory,Up to 1 TB PCIe ® 4.0 x4 SSD,16” 16:10 FHD IPS 60 Hz NanoEdge display,,,Windows 11 Home - ASUS recommends Windows 11 Pro for business | Larger touchpad with Smart Gesture | FHD IR camera with face recognition
22440,ASUS Vivobook 14 (M1405),,https://www.asus.com/my/laptops/for-home/vivobook/asus-vivobook-14-oled-m1405/,https://dlcdnwebimgs.asus.com/gain/0d9cc1c7-5c0f-422f-89ea-6ccb9cf32cce/w185,ASUS Official,Up to AMD Ryzen™ 7 170 processor,AMD Radeon Graphics,Up to 16 GB DDR5 memory,Up to 1 TB SSD storage,14” WUXGA (1920 x 1200) NanoEdge display,,,Windows 11 Home - ASUS recommends Windows 11 Home for business | Optional fingerprint login sensor | ASUS Antimicrobial Guard Plus | Military-grade durability
90NR0LP2-M008N0,ROG Strix G18 (2026),,https://rog.asus.com/my/laptops/rog-strix/rog-strix-g18-2026/,https://dlcdnwebimgs.asus.com/gain/D293897B-7F67-4CC9-8C4E-7796764031C8/w185,ASUS Official,Intel® Core™ Ultra 9 Processor 290HX Plus,NVIDIA® GeForce RTX™ 5060 Laptop GPU,,1TB M.2 NVMe™ PCIe® 4.0 SSD storage,"18"" 2.5K (2560 x 1600, WQXGA) 16:10 300Hz ROG Nebula Display",,,Windows 11 Home
90NR0LJ1-M00BK0,ROG Strix G16 (2026),13999.00,https://rog.asus.com/my/laptops/rog-strix/rog-strix-g16-2026/,https://dlcdnwebimgs.asus.com/gain/24000A14-8DB0-43FB-A670-FD5C6A052144/w185,ASUS Official,Intel® Core™ Ultra 9 Processor 290HX Plus,NVIDIA® GeForce RTX™ 5060 Laptop GPU,,1TB M.2 NVMe™ PCIe® 4.0 SSD storage,"16"" 2.5K (2560 x 1600, WQXGA) 16:10 300Hz ROG Nebula Display",,,Windows 11 Home
90NR0LI1-M00HY0,ROG Strix SCAR 18 (2026),,https://rog.asus.com/my/laptops/rog-strix/rog-strix-scar-18-2026/,https://dlcdnwebimgs.asus.com/gain/BF6C0FA0-C6B9-4ED4-9FC7-3ECFFE707213/w185,ASUS Official,Intel® Core™ Ultra 9 Processor 290HX Plus,NVIDIA® GeForce RTX™ 5080 Laptop GPU,,2TB M.2 NVMe™ PCIe® 4.0 Performance SSD storage,"18"" 2.5K (2560 x 1600, WQXGA) 16:10 240Hz ROG Nebula HDR Display",,,Windows 11 Home
90NR0NT2-M006Y0,ROG Zephyrus Duo (2026),,https://rog.asus.com/my/laptops/rog-zephyrus/rog-zephyrus-duo-2026/,https://dlcdnwebimgs.asus.com/gain/52E0E939-8413-4B35-8197-0F581DB0CC30/w185,ASUS Official,Intel® Core™ Ultra 9 Processor 386H,NVIDIA® GeForce RTX™ 5090 Laptop GPU,,2TB PCIe® 5.0 NVMe™ M.2 Performance SSD storage,"16"" 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula HDR Display touchscreen",,,Windows 11 Home
90NR0P93-M000R0,ROG Zephyrus G14 (2026) GU405,,https://rog.asus.com/my/laptops/rog-zephyrus/rog-zephyrus-g14-2026-gu405/,https://dlcdnwebimgs.asus.com/gain/5A7EC039-7097-47E1-A8F9-A29ADF62FF25/w185,ASUS Official,Intel® Core™ Ultra 9 Processor 386H,NVIDIA® GeForce RTX™ 5070 Ti Laptop GPU,,1TB M.2 NVMe™ PCIe® 4.0 SSD storage,"14"" 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula HDR Display",,,Windows 11 Home
90NR0PI4-M003H0,ROG Zephyrus G16 (2026),,https://rog.asus.com/my/laptops/rog-zephyrus/rog-zephyrus-g16-2026/,https://dlcdnwebimgs.asus.com/gain/4322A382-3010-420B-A036-C05706B68CED/w185,ASUS Official,Intel® Core™ Ultra 9 Processor 386H,NVIDIA® GeForce RTX™ 5060 Laptop GPU,,1TB M.2 NVMe™ PCIe® 4.0 SSD storage,"16"" 2.5K (2560 x 1600, WQXGA) 16:10 240Hz OLED ROG Nebula HDR Display",,,Windows 11 Home
29674,ASUS Vivobook 14 (A1407),,https://www.asus.com/my/laptops/for-home/vivobook/asus-vivobook-14-a1407/,https://dlcdnwebimgs.asus.com/gain/27b4deaa-9ad4-4b20-ad2d-38bd453d661b/w185,ASUS Official,Intel ® Core™ Ultra 5 processor (Series 2),Up to Intel ® ARC™ Graphics,Up to 32 GB DDR5 memory,Up to 1 TB PCIe ® 4.0 x4 SSD,14” 16:10 FHD IPS 60 Hz NanoEdge display,,,Windows 11 Home - ASUS recommends Windows 11 Home for business | 30% larger touchpad with Smart Gesture | FHD IR camera with face recognition
34681,"ASUS ExpertBook P3 G1 (16"" Intel)",5299.00,https://www.asus.com/my/laptops/for-work/expertbook/asus-expertbook-p3-g1-16-intel/,https://dlcdnwebimgs.asus.com/gain/65ca3742-faf1-4937-a269-9a1f54aeeaa5/w185,ASUS Official,Powered by up to Intel ® Core™ Ultra 7 processor,Intel Integrated Graphics,Up to 64 GB of DDR5 memory,Up to 2 TB dual SSDs storage,,,,Windows 11 Pro - ASUS recommends Windows 11 Pro for business | ASUS MyExpet AI assistant | Business-grade security with ASUS ExpertGuardian | ASUS ExpertCool thermal solution
