id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
GLOO-1,2-in-1 Laptops,,https://www.gloo.com.my/laptop/2-in-1-laptop,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-2,Commercial Laptops,,https://www.gloo.com.my/laptop/commercial-laptop,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-3,Consumer Laptops,,https://www.gloo.com.my/laptop/consumer-laptop,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-4,Programs,,https://www.gloo.com.my,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-5,Employee Purchase Program,,https://www.gloo.com.myemployee-purchase-program,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-6,GeForce RTX Laptops,,https://www.gloo.com.my/NVIDIA/GeForce-RTX-Laptops,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-7,2-in-1 Laptop,,https://www.gloo.com.my/brands-store/Dell/dell-2-in-1,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-8,MSI Laptop,,https://www.gloo.com.my/brands-store/msi/MSI-Laptop,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-9,Gaming Laptop,,https://www.gloo.com.my/brands-store/acer/acer-gaming-laptop,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-10,Predator,,https://www.gloo.com.my/brands-store/acer/Acer-Predator,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-11,TUF Gaming,,https://www.gloo.com.my/brands-store/asus/asus-tuf-gaming,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-12,Vivobook,,https://www.gloo.com.my/brands-store/asus/asus-vivobook,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-13,Consumer Laptop,,https://www.gloo.com.my/brands-store/joi/joi-consumer-laptop,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-14,ThinkPad E14,,https://www.gloo.com.my/brands-store/lenovo/thinkpad-e14,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-15,ThinkPad E16,,https://www.gloo.com.my/brands-store/lenovo/thinkpad-e16,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-16,ThinkPad L14 Series,,https://www.gloo.com.my/brands-store/lenovo/ThinkPad-L14-Series,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-17,ThinkPad Series,,https://www.gloo.com.my/brands-store/lenovo/think-series,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-18,Lenovo IdeaPad 3,,https://www.gloo.com.my/brands-store/lenovo/Lenovo-IdeaPad-3,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-19,Lenovo IdeaPad Gaming 3,,https://www.gloo.com.my/brands-store/lenovo/Lenovo-IdeaPad-Gaming-3,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-20,"Microsoft Surface Laptop 13""",,https://www.gloo.com.my/brands-store/microsoft/Microsoft-Surface-Laptop-13-inch,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-21,Microsoft Surface Laptop 8th Edition 13.8inch,,https://www.gloo.com.my/brands-store/microsoft/Microsoft-Surface-Laptop-8-Edition-13-8inch,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-22,Microsoft Surface Laptop 7th Edition,,https://www.gloo.com.my/brands-store/microsoft/Microsoft-Surface-Laptop-7,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-23,Microsoft Surface Laptop 8th Edition 15inch,,https://www.gloo.com.my/brands-store/microsoft/Microsoft-Surface-Laptop-8-Edition-15inch,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-24,Free Laptop Assistance Program x Sarawak Government x Yayasan Sarawak,,https://www.gloo.com.my/index.php?route=product/category&path=1073,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
RTX50,Game Changer Geforce RTX50 Series Laptop,,https://www.gloo.com.my/index.php?route=product/category&path=952,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-26,Intel AI Laptop,,https://www.gloo.com.my/intel-AI-laptop,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-27,GeForce RTX™️ Laptops,,https://www.gloo.com.my/index.php?route=product/category&path=1096_1144,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-28,SMB Laptop and Desktop,,https://www.gloo.com.my/SMB-Laptop-Desktop,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
GLOO-29,SMB Program,,https://www.gloo.com.my/SMB-product,,Gloo Official,,,,,,,,Gloo SNS Network Official Distributor Warranty
