id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
BV5X9PT,"HP ProBook 4 G1i 14 inch Notebook AI PC, Silver",6860.00,https://www.hp.com/my-en/shop/hp-probook-4-g1i-14-inch-notebook-ai-pc-bv5x9pt.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/m/y/my-hp_probook_4_14_inch_g1i_rainbowcake14_front_1.png,HP Official,Intel® Core™ Ultra 7 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard Drive,"14"" diagonal WUXGA display",,,"Everyday productivity. Security, performance and durability for your day to day work. | Windows 11 Pro"
D09RRAT,"HP ZBook 8 G1ah 14 inch Mobile Workstation PC, Silver",12518.00,https://www.hp.com/my-en/shop/hp-zbook-8-g1ah-14-inch-mobile-workstation-pc-wolf-pro-security-edition-data-science-d09rrat.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/m/y/my-1hp-zbook-8-g1i-14-inch-mobile-workstation-machuw14-frontopen_1.png,HP Official,AMD Ryzen™ 5 PRO processor,AMD Radeon graphics,16 GB DDR5-5600 RAM,1 TB SSD Hard Drive,"14"" diagonal WUXGA touch display",,,Windows 11 Pro
C1KZ2PT,"HP ZBook Ultra 14 inch G1a Mobile Workstation PC, Silver",21243.00,https://www.hp.com/my-en/shop/hp-zbook-ultra-14-inch-g1a-mobile-workstation-pc-c1kz2pt.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/m/y/my-hp-zbook-ultra-g1a-14-chiron-front_2.png,HP Official,AMD Ryzen™ AI MAX PRO processor,AMD Radeon™ Graphics,32 GB LPDDR5x-8533 RAM,1 TB SSD Hard Drive,"14"" diagonal WUXGA display",,,Windows 11 Pro
BV5X9PT-BN2,"HP ProBook 4 G1i 14 inch Notebook AI PC, Silver + HP Universal USB-C Multiport Hub + HP 230 Slim Wireless Mouse",7834.00,https://www.hp.com/my-en/shop/hp-probook-4-g1i-14-inch-notebook-ai-pc-bv5x9pt-2.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/m/y/my-hp_probook_4_14_inch_g1i_rainbowcake14_front_1_3.png,HP Official,Intel® Core™ Ultra 7 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard Drive,"14"" diagonal WUXGA display",,,"Everyday productivity. Security, performance and durability for your day to day work. | Windows 11 Pro"
D09RQAT,"HP ZBook 8 G1i 14 inch Mobile Workstation PC , Silver",14425.00,https://www.hp.com/my-en/shop/hp-zbook-8-g1i-14-inch-mobile-workstation-pc-data-science-d09rqat.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/m/y/my-1hp-zbook-8-g1i-14-inch-mobile-workstation-machuw14-frontopen.png,HP Official,Intel® Core™ Ultra 5 processor,NVIDIA RTX™ 500 Ada Generation,16 GB DDR5-5600 RAM,1 TB SSD Hard Drive,"14"" diagonal WUXGA display",,,Windows 11 Pro
D9XN3PA,"HP OmniBook 3 Laptop Next Gen AI 16-bz0024QU, Silver",4255.00,https://www.hp.com/my-en/shop/hp-omnibook-3-laptop-next-gen-ai-16-bz0024qu-d9xn3pa.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/D/9/D9XN3PA-1_T1775446206.png,HP Official,Snapdragon® X processor,,16 GB LPDDR5x-8448 RAM,512 GB SSD Hard drive,"16"" diagonal 2K display",,,Windows 11 Home
D9XN2PA,HP OmniBook 3 Laptop Next Gen AI 14-hz0030QU,4143.00,https://www.hp.com/my-en/shop/hp-omnibook-3-laptop-next-gen-ai-14-hz0030qu-d9xn2pa.html,https://my-media.apjonlinecdn.com/static/version1785187843/frontend/HPOLS/stellar/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Official,Snapdragon® X processor,,16 GB LPDDR5x-8448 RAM,512 GB SSD Hard drive,"14"" diagonal 2K display",,,Windows 11 Home
D93CFPA,"HP 15.6 inch Laptop 15-fd1576TU, Silver",3247.00,https://www.hp.com/my-en/shop/hp-laptop-15-fd1576tu-d93cfpa.html,https://my-media.apjonlinecdn.com/static/version1785187843/frontend/HPOLS/stellar/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Official,Intel® Core™ 3 processor,,8 GB DDR4-3200 RAM,512 GB SSD Hard drive,"15.6"" diagonal FHD display",,,Windows 11 Home
D93CDPA,"HP 15.6 inch Laptop 15-fd1574TU, Blue",3247.00,https://www.hp.com/my-en/shop/hp-laptop-15-fd1574tu-d93cdpa.html,https://my-media.apjonlinecdn.com/static/version1785187843/frontend/HPOLS/stellar/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Official,Intel® Core™ 3 processor,,8 GB DDR4-3200 RAM,512 GB SSD Hard drive,"15.6"" diagonal FHD display",,,Windows 11 Home
D86ZYPA,"HP Victus Gaming Laptop 15-fa2608TX, Blue",5487.00,https://www.hp.com/my-en/shop/victus-gaming-laptop-15-fa2608tx-d86zypa.html,https://my-media.apjonlinecdn.com/static/version1785187843/frontend/HPOLS/stellar/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Official,13th Generation Intel® Core™ i5 processor,NVIDIA® GeForce RTX™ 3050,16 GB DDR4-3200 RAM,512 GB SSD Hard drive,"15.6"" diagonal FHD display",,,Windows 11 Home
