id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
15-GB0187AX,"HP HYPERX OMEN 15-GB0187AX/R7-8745HX/16GB D5-5200/512GB G4/RTX5050 8GB/15.3"" 2K 165HZ/W11H/HOME24/2YW+ADP/BLACK (BP)",6999,https://store.pcimage.com.my/product/hp-hyperx-omen-15-gb0187axr7-8745hx16gb-d5-5200512gb-g4rtx5050-8gb153-2k-165hzw11hhome242ywadpblack-bp,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7788396/cached/3i9NXp2D6a71a85deac21_1785833565_webstore_listing_image1.jpg,PC Image - HP,,RTX5050,16GB D5-5200,16GB D5-5200,,,,
FA608U-HITU066W FA608U-HITU066WP,"ASUS TUF GAMING A16 FA608U-HITU066W/FA608U-HITU066WP R7 260/16GB D5-5600/512GB G4/1-ZONE RGB/RTX5050 8GB/16"" FHD WUXGA 144Hz/W11H/2 YR GLOBAL WITH 1ST YR ADP/JAEGER GRAY (TUF BACKPACK)",6299,https://store.pcimage.com.my/product/asus-tuf-gaming-a16-fa608u-hitu066wfa608u-hitu066wp-r7-26016gb-d5-5600512gb-g41-zone-rgbrtx5050-8gb16-fhd-wuxga-144hzw11h2-yr-global-with-1st-yr-adpjaeger-gray-tuf-backpack,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7745604/cached/gLCXSCVb6a63012b34cd7_1784873259_webstore_listing_image1.jpg,PC Image - Asus,R7 260,RTX5050,16GB D5-5600,16GB D5-5600,"16"" FHD",,,
FA608U-PRV028WP,"ASUS TUF GAMING A16 FA608U-PRV028WP R7-260/16GB D5-5600/512GB G4/1-ZONE RGB/RTX5070 8GB/16"" FHD 165Hz/W11H/2 YR GLOBAL WITH 2 YR ADP/JAEGER GRAY (TUF BACKPACK)",7599,https://store.pcimage.com.my/product/asus-tuf-gaming-a16-fa608u-prv028wp-r7-26016gb-d5-5600512gb-g41-zone-rgbrtx5070-8gb16-fhd-165hzw11h2-yr-global-with-2-yr-adpjaeger-gray-tuf-backpack,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7745411/cached/vQjKl4XI6a62ea5bbe1b2_1784867419_webstore_listing_image1.jpg,PC Image - Asus,,RTX5070,16GB D5-5600,16GB D5-5600,"16"" FHD 165Hz",,,
G614P-HTS157WP,"ASUS ROG STRIX G16 G614P-HTS157WP R7-8745HX/16GB D5-5200/512GB G4/4-ZONE RGB/RTX5050 8GB/16"" 2.5K WQXGA 300HZ/W11H/2 YR GLOBAL WITH 2 YR ADP/ECLIPSE GRAY (ROG BACKPACK)",8099,https://store.pcimage.com.my/product/asus-rog-strix-g16-g614p-hts157wp-r7-8745hx16gb-d5-5200512gb-g44-zone-rgbrtx5050-8gb16-25k-wqxga-300hzw11h2-yr-global-with-2-yr-adpeclipse-gray-rog-backpack,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7745390/cached/p3z1POhT6a62e78e5f6c2_1784866702_webstore_listing_image1.jpg,PC Image - Asus,,RTX5050,16GB D5-5200,16GB D5-5200,,,,
CYBORG 15 C13WFO-419MY,"MSI CYBORG 15 C13WFO-419MY I5-13420H/16GB 3200MHZ(8+8)/512GB SSD/RTX5060 8GB/15.6"" FHD 144HZ/W11H/2YW/PLATINUM GRAY/WHITE BACKLIT GAMING KB COPILOT KEY(ESSENTIAL BACKPACK)",5099,https://store.pcimage.com.my/product/msi-cyborg-15-c13wfo-419my-i5-13420h16gb-3200mhz88512gb-ssdrtx5060-8gb156-fhd-144hzw11h2ywplatinum-graywhite-backlit-gaming-kb-copilot-keyessential-backpack,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7725433/cached/dabDwlxq6a5ecd46aced5_1784597830_webstore_listing_image1.jpg,PC Image - MSI,I5-13420H,RTX5060,16GB 3200MHZ(8+8),16GB 3200MHZ(8+8),"15.6"" FHD 144HZ",,,
CYBORG 15 C13WEO-420MY,"MSI CYBORG 15 C13WEO-420MY I7-13620H/16GB 3200MHZ(8+8)/512GB SSD/RTX5050 8GB/15.6"" FHD 144HZ/W11H/2YW/PLATINUM GRAY/WHITE BACKLIT GAMING KB COPILOT KEY(ESSENTIAL BACKPACK)",5499,https://store.pcimage.com.my/product/msi-cyborg-15-c13weo-420my-i7-13620h16gb-3200mhz88512gb-ssdrtx5050-8gb156-fhd-144hzw11h2ywplatinum-graywhite-backlit-gaming-kb-copilot-keyessential-backpack,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7725429/cached/cb42C5n16a5ecbad9822d_1784597421_webstore_listing_image1.jpg,PC Image - MSI,I7-13620H,RTX5050,16GB 3200MHZ(8+8),16GB 3200MHZ(8+8),"15.6"" FHD 144HZ",,,
CROSSHAIR A16 HX E8WGK-036MY,"MSI CROSSHAIR A16 HX E8WGK-036MY R7-8840HX/16GB 5200MHZ/512GB SSD/RTX5070 8GB/16"" QHD+ 240HZ/W11H/2YW/BLACK/4-ZONE RGB GAMING KB COPILOT KEY(ESSENTIAL BACKPACK)",8499,https://store.pcimage.com.my/product/msi-crosshair-a16-hx-e8wgk-036my-r7-8840hx16gb-5200mhz512gb-ssdrtx5070-8gb16-qhd-240hzw11h2ywblack4-zone-rgb-gaming-kb-copilot-keyessential-backpack,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7725424/cached/sNXPXRWR6a5ec64057285_1784596032_webstore_listing_image1.jpg,PC Image - MSI,,RTX5070,16GB 5200MHZ,16GB 5200MHZ,"16"" QHD+ 240HZ",,,
RAIDER A16 HX B8WH-026MY,"MSI RAIDER A16 HX B8WH-026MY R9-8940HX/16GB 5200MHZ/1TB SSD/RTX5070TI 12GB/16"" QHD+ 240HZ/W11H/2YW/CORE BLACK/24-ZONE RGB GAMING KB COPILOT KEY(MAX GAMING BACKPACK)",10899,https://store.pcimage.com.my/product/msi-raider-a16-hx-b8wh-026my-r9-8940hx16gb-5200mhz1tb-ssdrtx5070ti-12gb16-qhd-240hzw11h2ywcore-black24-zone-rgb-gaming-kb-copilot-keymax-gaming-backpack,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7723623/cached/ZukOjYtD6a5deee6366c3_1784540902_webstore_listing_image1.jpg,PC Image - MSI,,RTX5070TI,16GB 5200MHZ,16GB 5200MHZ,"16"" QHD+ 240HZ",,,
TITAN 18 HX DRAGON EDITION DRACO EPIC A2WJ-1230MY,"MSI TITAN 18 HX DRAGON EDITION DRACO EPIC A2WJ-1230MY U9-290HX PLUS AI/96GB 6400MHZ(48+48)/4TB SSD(2+2)/RTX5090 24GB/18"" UHD+ 240HZ/W11H/2YW/DRAGON EDITION DRACO EPIC/CHERRY MECH PER-KEY RGB GAMING KB COPILOT KEY(MAX GAMING BACKPACK)",31999,https://store.pcimage.com.my/product/msi-titan-18-hx-dragon-edition-draco-epic-a2wj-1230my-u9-290hx-plus-ai96gb-6400mhz48484tb-ssd22rtx5090-24gb18-uhd-240hzw11h2ywdragon-edition-draco-epiccherry-mech-per-key-rgb-gaming-kb-copilot-keymax-gaming-backpack,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7723377/cached/ClwTVzmg6a5de5a8870dc_1784538536_webstore_listing_image1.jpg,PC Image - MSI,,RTX5090,96GB 6400MHZ(48+48),96GB 6400MHZ(48+48),"18"" UHD+ 240HZ",,,
FA608U-HRV095W,"ASUS TUF GAMING A16 FA608U-HRV095W R7-260/16GB D5-5600/1TB G4/1-ZONE RGB/RTX5050 8GB/16"" FHD 165HZ/W11H/2 YR GLOBAL WITH 1 YR ADP/JAEGER GRAY",5799,https://store.pcimage.com.my/product/asus-tuf-gaming-a16-fa608u-hrv095w-r7-26016gb-d5-56001tb-g41-zone-rgbrtx5050-8gb16-fhd-165hzw11h2-yr-global-with-1-yr-adpjaeger-gray,https://cdn1.sgliteasset.com/pcimagee/images/product/product-7711819/cached/dz3dittc6a575088a0db3_1784107144_webstore_listing_image1.jpg,PC Image - Asus,,RTX5050,16GB D5-5600,16GB D5-5600,"16"" FHD 165HZ",,,
