id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
56207,"Acer Aspire 7 A715-59G-501E 15.6"" Laptop/ Notebook (Core 5 210H, 16GB, 512GB, NV RTX3050, W11H, Off H&S + Off 365 Basic, 144Hz)",3628.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-501e-15-6-laptop-notebook-core-5-210h-16gb-512gb-nv-rtx3050-w11h-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-501E-a-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,16GB,16GB,,,,
57248,"Acer Aspire 7 A715-59G-501E-1-W11-EPP 15.6"" Laptop/ Notebook (Core 5 210H, 16GB, 1TB, NV RTX3050, W11H, Off H&S + Off 365 Basic, 144Hz)",5369.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-501e-1-w11-epp-15-6-laptop-notebook-core-5-210h-16gb-1tb-nv-rtx3050-w11h-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-501E-epp-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,16GB,16GB,,,,
57250,"Acer Aspire 7 A715-59G-501E-1-W11P-EPP 15.6"" Laptop/ Notebook (Core 5 210H, 16GB, 1TB, NV RTX3050, W11P, Off H&S + Off 365 Basic, 144Hz)",6219.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-501e-1-w11p-epp-15-6-laptop-notebook-core-5-210h-16gb-1tb-nv-rtx3050-w11p-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-501E-w11p-epp-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,16GB,16GB,,,,
57249,"Acer Aspire 7 A715-59G-501E-W11P 15.6"" Laptop/ Notebook (Core 5 210H, 16GB, 512GB, NV RTX3050, W11P, Off H&S + Off 365 Basic, 144Hz)",4429.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-501e-w11p-15-6-laptop-notebook-core-5-210h-16gb-512gb-nv-rtx3050-w11p-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-501E-w11p-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,16GB,16GB,,,,
56882,"Acer Aspire 7 A715-59G-527W 15.6"" Laptop/ Notebook (Core 5 210H, 8GB, 512GB, NV RTX3050, W11H, Off H&S + Off 365 Basic, 144Hz)",3279.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-527w-15-6-laptop-notebook-core-5-210h-8gb-512gb-nv-rtx3050-w11h-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-527W-a-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,8GB,8GB,,,,
57415,"Acer Aspire 7 A715-59G-527W-1-W11-EPP 15.6"" Laptop/ Notebook (Core 5 210H, 8GB, 1TB, NV RTX3050, W11H, Off H&S + Off 365 Basic, 144Hz)",5009.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-527w-1-w11-epp-15-6-laptop-notebook-core-5-210h-8gb-1tb-nv-rtx3050-w11h-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-527W-epp-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,8GB,8GB,,,,
57421,"Acer Aspire 7 A715-59G-527W-1-W11P-EPP 15.6"" Laptop/ Notebook (Core 5 210H, 8GB, 1TB, NV RTX3050, W11P, Off H&S + Off 365 Basic, 144Hz)",5859.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-527w-1-w11p-epp-15-6-laptop-notebook-core-5-210h-8gb-1tb-nv-rtx3050-w11p-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-527W-w11p-epp-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,8GB,8GB,,,,
57416,"Acer Aspire 7 A715-59G-527W-16-1-W11-EPP 15.6"" Laptop/ Notebook (Core 5 210H, 16GB, 1TB, NV RTX3050, W11H, Off H&S + Off 365 Basic, 144Hz)",5439.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-527w-16-1-w11-epp-15-6-laptop-notebook-core-5-210h-16gb-1tb-nv-rtx3050-w11h-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-527W-epp-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,16GB,16GB,,,,
57422,"Acer Aspire 7 A715-59G-527W-16-1-W11P-EPP 15.6"" Laptop/ Notebook (Core 5 210H, 16GB, 1TB, NV RTX3050, W11P, Off H&S + Off 365 Basic, 144Hz)",6289.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-527w-16-1-w11p-epp-15-6-laptop-notebook-core-5-210h-16gb-1tb-nv-rtx3050-w11p-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-527W-w11p-epp-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,16GB,16GB,,,,
56907,"Acer Aspire 7 A715-59G-527W-16-W11 15.6"" Laptop/ Notebook (Core 5 210H, 16GB, 512GB, NV RTX3050, W11H, Off H&S + Off 365 Basic, 144Hz)",3689.00,https://www.techhypermart.com/notebooks/acer-aspire-7-a715-59g-527w-16-w11-15-6-laptop-notebook-core-5-210h-16gb-512gb-nv-rtx3050-w11h-off-h-s-off-365-basic-144hz,https://www.techhypermart.com/image/cache/catalog/laptopnotebook/acer/A715-59G-527W-a-250x250.png,TechHypermart - Acer,Core 5,NV RTX3050,16GB,16GB,,,,
