id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
83RWCTO1WWMY2,"Legion 5i (15"", Gen 11)",8171.70,https://www.lenovo.com/my/en/p/laptops/legion-laptops/legion-series/legion-5i-gen-11-15-inch-intel/83rwcto1wwmy2,https://p3-ofp.static.pub/ShareResource/optimized/pdp/legion/legion-5-series/len101g0050/lenovo-legion-5i-gen-11-15-intel-pdp-gallery-1.4110b84470e37084.png,All Laptops,Intel® Core™ Ultra 7 356H Processor (E-cores up to 3.50 GHz P-cores up to 4.70 GHz),NVIDIA® GeForce RTX™ 5050 Laptop GPU 8GB GDDR7,32 GB DDR5-5600MT/s (SODIMM) - (2 x 16 GB),1 TB SSD M.2 2242 PCIe Gen4 TLC,"15.3"" WQXGA (2560 x 1600), OLED, Glare, Non-Touch, HDR 1000 True Black, 100%DCI-P3, 500 nits, 165Hz, Low Blue Light",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Legion Ultimate Support | The Legion 5i (15"", Gen 11) features a powerful Intel® Core™ Ultra 7 processor and NVIDIA® GeForce RTX™ 5050 GPU. With a stunning 15.3"" OLED display, 32GB DDR5 memory, and 1TB SSD storage, it's perfect for gamers seeking top-tier performance."
83JQCTO1WWMY3,"Yoga 7i 2-in-1 (14'', Gen 10)",4428.95,https://www.lenovo.com/my/en/p/laptops/yoga/yoga-2-in-1-series/lenovo-yoga-7i-2-in-1-gen-10-14-inch-intel/83jqcto1wwmy3,https://p3-ofp.static.pub/ShareResource/optimized/pdp/yoga/yoga-2-in-1-series/len101y0056/yoga-7i-2-in-1-gen-10-14-gallery-1.png,All Laptops,Intel® Core™ Ultra 5 226V Processor (LPE-cores up to 3.50 GHz P-cores up to 4.50 GHz / 16 GB MOP),Integrated Graphics,16 GB LPDDR5X-8533MT/s (Memory on Package),1 TB SSD M.2 2242 PCIe Gen4 TLC,"14"" WUXGA (1920 x 1200), IPS, Glare, Touch, 45%NTSC, 300 nits, 60Hz, Glass",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year PremiumCare | The Yoga 7i 2-in-1 (14'', Gen 10) offers a versatile design with a 14"" touch display for creators and everyday use. Powered by an Intel® Core™ Ultra 5 processor, 16GB memory, and 1TB SSD, it ensures smooth performance and ample storage in a sleek Luna Grey finish."
21UYCTO1WWMY2,ThinkBook 14 Gen 9,4325.89,https://www.lenovo.com/my/en/p/laptops/thinkbook/thinkbook-series/lenovo-thinkbook-14-gen-9-14-inch-intel/21uycto1wwmy2,https://p2-ofp.static.pub//fes/cms/2025/11/11/rvrvvqu8mffodlq86p2x59gbig8f4x532524.png,All Laptops,Intel® Core™ 5 210H Processor (E-cores up to 3.60 GHz P-cores up to 4.80 GHz),Integrated Graphics,16 GB DDR5-5600MT/s (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC,"14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 400 nits, 60Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Courier or Carry-in | The ThinkBook 14 Gen 9 offers a sleek Arctic Grey design and a vibrant 14"" WUXGA anti-glare display. Powered by Intel® Core™ 5 210H, 16GB DDR5 memory, and 256GB SSD, it ensures smooth multitasking for professionals and SMBs."
21SX003YMA,ThinkPad E14 Gen 7,5767.73,https://www.lenovo.com/my/en/p/laptops/thinkpad/thinkpade/thinkpad-e14-gen-7-14-inch-intel/21sx003yma,https://p4-ofp.static.pub//fes/cms/2025/03/17/eubwnjmjsktduhota8taj547khw5gn883717.png,All Laptops,Intel® Core™ Ultra 5 225U Processor (E-cores up to 3.80 GHz P-cores up to 4.80 GHz),Integrated Intel® Graphics,16 GB DDR5-5600MT/s (SODIMM),512 GB SSD M.2 2242 PCIe Gen4 TLC Opal,"14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 300 nits, 60 Hz",,,"OS: Windows 11 Pro 64 | Warranty: 3 Year On-site | The ThinkPad E14 G7 features a 14"" WUXGA display with anti-glare and 300 nits brightness for clear visuals. Powered by an Intel® Core™ Ultra 5 processor, 16GB DDR5 memory, and 512GB SSD, it's ideal for business professionals seeking performance and portability."
83LTCTO1WWMY3,"Legion Pro 5 (16"",  Gen 10)",7139.44,https://www.lenovo.com/my/en/p/laptops/legion-laptops/legion-pro-series/legion-pro-5-gen-10-16-inch-amd/83ltcto1wwmy3,https://p4-ofp.static.pub//fes/cms/2025/04/04/jiji2singllsx0ge6te3pq1uxsghqs412326.png,All Laptops,AMD Ryzen™ 7 8745HX Processor (3.60 GHz up to 5.10 GHz),NVIDIA® GeForce RTX™ 5060 Laptop GPU 8GB GDDR7,16 GB DDR5-5200MT/s (SODIMM),1 TB SSD M.2 2242 PCIe Gen4 TLC,"16"" WQXGA (2560 x 1600), OLED, Glare, Non-Touch, HDR 1000 True Black, 100%DCI-P3, 500 nits, 165Hz, Low Blue Light",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Legion Ultimate Support | The Legion Pro 5 (16"", Gen 10) offers powerful performance with an AMD Ryzen™ 7 processor, NVIDIA® RTX™ 5060 GPU, and a stunning OLED display. Users praise its exceptional performance, vibrant display, and versatility, making it ideal for gamers and creative professionals."
83HH002GMA,ideapad Chrome Duet 11M889,1974.06,https://www.lenovo.com/my/en/p/laptops/lenovo/lenovo-edu-chromebooks/lenovo-chromebook-duet-gen-9-11-inch-mediatek/83hh002gma,https://p4-ofp.static.pub//fes/cms/2024/07/29/dik1p1114323csxtbe23f8aaw3i0n0633169.png,All Laptops,MediaTek Kompanio 838 Processor (2.60 GHz ),Integrated ARM Mali-G57 MC3 GPU,8 GB LPDDR4X-4266MT/s (Soldered),128 GB eMMC 5.1 TLC,"10.95"" WUXGA (1920 x 1200), IPS, Glare, Touch, 72%NTSC, 400 nits, 60Hz, Glass",,,"OS: ChromeOS | Warranty: 3 Year Depot or Carry-in | The IdeaPad Duet 3 Chromebook is a lightweight detachable notebook with a vibrant 10.95"" WUXGA touch display. Perfect for students, it offers 8GB memory, 128GB storage, Wi-Fi 6, and a Lenovo USI Pen for seamless productivity and creativity."
82LV007SMJ,"IdeaPad 1i (14"", Gen 7)",2355.94,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-3/ideapad-1i-gen-7-(14-inch-intel)/82lv007smj,https://p1-ofp.static.pub/fes/cms/2023/03/06/qip9pxrd9m2osda8566c8p0fm6uduw850551.png,All Laptops,Intel® Celeron® N4500 Processor (1.10 GHz up to 2.80 GHz),Integrated Intel® UHD Graphics,8 GB DDR4-2933MHz (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC,"14"" HD (1366 x 768), TN, Anti-Glare, Non-Touch, 45%NTSC, 220 nits, 60 Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 2 Year PremiumCare | The IdeaPad 1 14IJL7 offers reliable performance with Intel® Celeron® N4500 and 8GB memory. Its lightweight design, 256GB SSD storage, and HD display make it ideal for everyday tasks, enhanced by Wi-Fi 6 and 2-year PremiumCare warranty."
82XQ0027MJ,"IdeaPad 3 (15"", Gen 8)",2937.77,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-3/ideapad-slim-3-gen-8-15-inch-amd/82xq0027mj,https://p2-ofp.static.pub//fes/cms/2024/09/13/0bz9e64gjw7o3i3h8h2ts04cllay0g355215.png,All Laptops,AMD Ryzen™ 5 7520U Processor (2.80 GHz up to 4.30 GHz),Integrated AMD Radeon™ 610M,8 GB LPDDR5-5500MT/s (Soldered),512 GB SSD M.2 2242 PCIe QLC,"15.6"" FHD (1920 x 1080), IPS, Anti-Glare, Non-Touch, 45%NTSC, 300 nits, 60Hz, Narrow Bezel",,,"OS: Windows 11 Home 64 Single Language | Warranty: 1 Year PremiumCare | The IdeaPad Slim 3 15AMN8 offers a sleek design with a 15.6"" FHD anti-glare display for immersive visuals. Powered by an AMD Ryzen™ 5 processor, it features 8GB RAM, 512GB SSD, and Wi-Fi 6 for smooth multitasking, making it ideal for students and everyday use."
83RR00STMJ,"IdeaPad Slim 3i (15"", Gen 11)",4263.04,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-slim-series/lenovo-ideapad-slim-3i-gen-11-15-inch-intel/83rr00stmj,https://p1-ofp.static.pub/ShareResource/optimized/IdeaPad-Slim-3i-Gen11-15-Intel/lenovo-ideapad-slim-3i-gen-11-15-intel-pdp-gallery-1.png,All Laptops,Intel® Core™ 5 320 Processor (LPE-cores up to 3.40 GHz P-cores up to 4.60 GHz),Integrated Intel® Graphics,16 GB DDR5-5600MT/s (SODIMM),512 GB SSD M.2 2242 PCIe Gen4 QLC,"15.3"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 400 nits, 60 Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year PremiumCare | The IdeaPad Slim 3 15IWC11 offers a sleek, lightweight design with a 15.3"" WUXGA anti-glare display for clear visuals. Equipped with an Intel® Core™ 5 processor, 16GB DDR5 memory, and 512GB SSD, it ensures smooth performance for everyday tasks and entertainment."
83TD006SMJ,Lenovo YOGA 7 2-in-1 14AGP11,4687.36,https://www.lenovo.com/my/en/p/laptops/yoga/yoga-2-in-1-series/lenovo-yoga-7a-2-in-1-gen-11-14-inch-amd/83td006smj,https://p1-ofp.static.pub/ShareResource/optimized/pdp/yoga/yoga-2-in-1-series/len101y0067/lenovo-yoga-7a-2-in-1-gen-11-14-amd-pdp-gallery-1.98736643ff42c877.png,All Laptops,AMD Ryzen™ AI 5 430 Processor (2.00 GHz up to 4.50 GHz),Integrated AMD Radeon™ 840M,16 GB LPDDR5X-8000MT/s (Soldered),512 GB SSD M.2 2242 PCIe Gen4 QLC,"14"" WUXGA (1920 x 1200), OLED, Glare, Touch, HDR 500 True Black, 100%DCI-P3, 400 nits, 60 Hz, Glass",,,"OS: Windows 11 Home 64 | Warranty: 2 Year PremiumCare | The Lenovo YOGA 7 2-in-1 offers a stunning 14"" OLED touchscreen with vibrant colors and sharp resolution. Equipped with an AMD Ryzen™ AI 5 processor, 16GB memory, and 512GB SSD, it's perfect for creators and multitaskers. Includes a Yoga Pen Gen 2 and a 2-year PremiumCare warranty for added convenience."
